n,rho,method,n_attempt,original_success,original_failure_rate,mean_boot_success_fraction,valid80_reps,param_rmse_mean,sandwich_coverage_mean,bootstrap_coverage_mean_valid80,bootstrap_interval_length_mean_valid80,bootstrap_coverage_mcse_across_mc
500,0.2,DR_CF,500,469,0.062,0.898794,425,0.3892872318521405,0.9384328358208956,0.9329411764705884,1.6877088465638614,0.0051314970076446
500,0.2,PR_MLE,500,500,0.0,1.0,500,0.5964925897202022,0.5945,0.6305,1.0766952140651913,0.0070116207578064
2500,0.02,DR_CF,500,436,0.128,0.847048,331,0.8418599471264275,0.9108371559633028,0.9237160120845922,2.73081646836312,0.0068781652922539
2500,0.02,PR_MLE,500,500,0.0,0.999944,500,0.464161881869883,0.61275,0.6055,0.8423450757250697,0.0104682217847478
2500,0.05,DR_CF,500,483,0.034,0.94275,459,0.4493581559978476,0.925983436853002,0.9324618736383442,1.8115863483620689,0.0057833475331209
2500,0.05,PR_MLE,500,500,0.0,1.0,500,0.623397644212347,0.33075,0.34825,0.6776215253592395,0.0063904656404838
2500,0.1,DR_CF,500,497,0.006,0.986372,494,0.2452775229735606,0.908953722334004,0.9124493927125508,1.0040362249112738,0.0064758831949536
2500,0.1,PR_MLE,500,500,0.0,1.0,500,0.6461579091348938,0.26225,0.2775,0.551359456314958,0.0054815686797102
