scenario,rho,method,param,N,bias,ESD,mean_SE,median_SE,coverage,coverage_MCSE
clean,0.01,DR_CF,alpha0,355,-0.07375802784735225,0.7236792513763126,1.5033860277614317,0.5847578819317603,0.9323943661971831,0.013325302848439791
clean,0.01,DR_CF,alpha1,355,0.6669006341449847,1.336483607343533,3.50874518228769,0.7805522677488549,0.971830985915493,0.008781465874297267
clean,0.01,DR_CF,alpha2,355,-0.48698668888574825,1.5948421611576047,4.694309203657939,0.6984500829172772,0.9577464788732394,0.010676835670800149
clean,0.01,DR_CF,alpha3,355,0.26043690838461875,1.076364013417714,2.1682141927350225,0.651601315926851,0.952112676056338,0.011332879766436155
clean,0.01,DR_CF,beta0,355,0.9923578317741659,2.1255573366297047,7.922411481622038,1.241334247505076,0.9464788732394366,0.011945488364060137
clean,0.01,DR_CF,beta1,355,-0.06126251783904748,1.3908999666705517,4.406006553461494,0.8197441787599876,0.9633802816901409,0.009968784312954773
clean,0.01,DR_CF,beta2,355,0.8306514636385952,2.1368212918269354,8.376643333370552,1.0790008255773176,0.9408450704225352,0.0125210385075466
clean,0.01,DR_CF,beta3,355,-0.4589520891339461,1.544650044456063,5.483790201627597,0.8803412438913842,0.9352112676056338,0.013064428918066185
clean,0.01,PR_MLE,alpha0,500,0.016312704776696014,0.3483351330386808,0.3171314957278053,0.31267685238867055,0.916,0.012405160216619531
clean,0.01,PR_MLE,alpha1,500,0.009904958707368641,0.1447913377285361,0.1418782505677988,0.14137724146800806,0.944,0.010282412168358165
clean,0.01,PR_MLE,alpha2,500,-0.01170765858567821,0.1768839639985933,0.1673955372255193,0.16362773332294925,0.942,0.010453324829928518
clean,0.01,PR_MLE,alpha3,500,-0.003412749721721819,0.14280698637294137,0.13616400028229647,0.1334099196544684,0.932,0.01125841907196565
clean,0.01,PR_MLE,beta0,500,0.08172905548195358,0.5502359018218013,0.4925543387509654,0.4673855340513131,0.936,0.01094568408095172
