n,n_y1,n_y0,n_y0_R1_W1,n_y0_R1_W0,n_y0_R0,sample_rho,weighted_rho,sample_q,weighted_q,weighted_PY1,weighted_proxy_positive_among_observed,mode,design,weight_variable
8114,1283,6831,220,6243,368,0.9461279461279462,0.9575999403286803,0.03403991954200836,0.021377673368260533,0.11783085383001263,0.09898683645231027,A1C,primary_no_usualcare,WTMECPRP
8114,1283,6831,220,6243,368,0.9461279461279462,0.9575999403286803,0.03403991954200836,0.021377673368260533,0.11783085383001263,0.09898683645231027,A1C,full_covariate,WTMECPRP
4033,669,3364,172,2999,193,0.942627824019025,1.0,0.05424156417533901,0.03814479366701065,0.1173773744654166,0.11360059991058005,FPG,primary_no_usualcare,WTSAFPRP
4033,669,3364,172,2999,193,0.942627824019025,1.0,0.05424156417533901,0.03814479366701065,0.1173773744654166,0.11360059991058005,FPG,full_covariate,WTSAFPRP
