experiment,scenario,n,rho,q_target,method,n_attempt,n_success,failure_rate,param_rmse_mean,param_rmse_mcse,coverage_mean_mean,coverage_mean_mcse,pred_rmse_mean,rho_realized_mean,q_realized_mean,n_rev_mean,n_rev1_mean,n_rev0_mean,ess_mean,ess1_mean,ess0_mean,min_eig_or_sing_mean
A,clean,200,0.01,,DR_CF,500,179,0.642,3.095263940750693,0.1743275424344687,0.2877094972067039,0.0196542527728087,0.0800097915080532,0.0077770296982109,0.3585106382978724,1.2849162011173183,0.4301675977653631,0.8547486033519553,2.1188226112219577,0.6718425135368289,1.453053654886717,
A,clean,200,0.01,,PR_MLE,500,417,0.166,1.6107413839908826,0.0716305573829455,0.8093525179856115,0.0109203599341,0.0855924739730932,0.0106737874328766,0.3988059488059488,1.7577937649880095,0.7074340527577938,1.0503597122302155,,,,
A,clean,200,0.01,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.0108016232337636,0.4086402753872633,1.779559118236473,0.7214428857715431,1.0581162324649298,,,,
A,clean,200,0.02,,DR_CF,500,103,0.794,3.9636401823986662,0.2407767676798438,0.3701456310679611,0.027536595962863,0.0818789024835461,0.0141955859226789,0.5381856540084388,2.3398058252427183,1.2524271844660195,1.087378640776699,2.4057553743984488,1.1952041170846168,1.2531328760485598,
A,clean,200,0.02,,PR_MLE,500,433,0.134,1.4218041568295927,0.0730444713157271,0.85594688221709,0.0088796607914592,0.0829362027599718,0.0213929952387845,0.4871550820817324,3.5196304849884528,1.6859122401847575,1.833718244803695,,,,
A,clean,200,0.02,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.0210484571498414,0.4843734335839599,3.464929859719439,1.6412825651302605,1.8236472945891784,,,,
A,clean,200,0.05,,DR_CF,500,56,0.888,3.0729514301877368,0.302042783520183,0.75,0.0386196487908327,0.1147249654642438,0.0499355548083013,0.5204707494886066,8.142857142857142,4.071428571428571,4.071428571428571,4.970767827796792,2.5376762689671497,2.8399325164570834,
A,clean,200,0.05,,PR_MLE,500,482,0.036,1.0009136907114506,0.0505216503105614,0.9004149377593361,0.0072600242438286,0.0770339097262922,0.0516797647847546,0.4854480971121196,8.491701244813278,4.109958506224066,4.381742738589212,,,,
A,clean,200,0.05,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.0514966005520944,0.4824115973355629,8.464929859719438,4.0681362725450905,4.396793587174349,,,,
A,clean,200,0.1,,DR_CF,500,145,0.71,1.5386709614541474,0.158999827179031,0.9293103448275862,0.0088906485657499,0.114887127483827,0.1077258600092039,0.4741737663240022,17.689655172413794,8.282758620689656,9.406896551724138,9.359373575157782,5.17228575687736,5.959630998941778,
A,clean,200,0.1,,PR_MLE,500,493,0.014,0.6695938127943991,0.0344729057327854,0.9419371196754563,0.0046842998405048,0.0706256260788218,0.101261429577768,0.470881988691992,16.64503042596349,7.774847870182556,8.870182555780932,,,,
A,clean,200,0.1,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.1011293703095711,0.4690803714089271,16.62324649298597,7.741482965931864,8.881763527054108,,,,
A,clean,200,0.2,,DR_CF,500,374,0.252,1.086622057064886,0.0601317635589793,0.9692513368983956,0.0036257384192897,0.0968867834753637,0.2047687139541962,0.4238852127091461,33.6524064171123,14.211229946524064,19.44117647058824,16.43640799258971,10.210507992531031,10.932637209564732,
A,clean,200,0.2,,PR_MLE,500,500,0.0,0.4681272309957525,0.0131216777073174,0.95175,0.0040079298901063,0.0656975177844926,0.2012182702540911,0.4325644782065496,33.084,14.242,18.842,,,,
A,clean,200,0.2,,STD_ZIB,500,499,0.002,1.494753195017102,0.0623109037522085,0.8236472945891784,0.0101136912104728,0.0839735665352816,0.2012253721612042,0.4327829853537276,33.08216432865731,14.248496993987976,18.83366733466934,,,,
A,clean,500,0.01,,DR_CF,500,104,0.792,3.8045923345331336,0.1719604980804291,0.4206730769230769,0.0237933262772885,0.0707086093329306,0.0075179238636437,0.1714160401002506,3.0961538461538463,0.5576923076923077,2.5384615384615383,3.042165642470769,0.4827003683419222,2.584284962527811,
A,clean,500,0.01,,PR_MLE,500,485,0.03,1.0402656343589485,0.056539298552484,0.8324742268041238,0.0102774787528121,0.0514959636875672,0.009782623006455,0.3913824620757393,4.028865979381443,1.579381443298969,2.4494845360824744,,,,
A,clean,500,0.01,,STD_ZIB,500,492,0.016,1.5028679482329743,0.058673801991526,0.6684451219512195,0.0136426721695387,0.055157603769353,0.0097016895223127,0.3817419985121849,3.9959349593495936,1.5365853658536586,2.459349593495935,,,,
A,clean,500,0.02,,DR_CF,500,55,0.89,2.6902311767007,0.3018795281000242,0.7295454545454545,0.0402229210680554,0.1071983030318084,0.0194891036089675,0.4640560449651359,8.018181818181818,3.727272727272727,4.290909090909091,5.518153018795863,2.585957544697954,3.4603044147435886,
A,clean,500,0.02,,PR_MLE,500,489,0.022,0.5768033175455931,0.0183492441398735,0.9074642126789366,0.0073898046395505,0.0482098920004882,0.0196074314962039,0.4735300329941254,8.067484662576687,3.775051124744376,4.292433537832311,,,,
A,clean,500,0.02,,STD_ZIB,500,492,0.016,1.5028679482329743,0.058673801991526,0.6684451219512195,0.0136426721695387,0.055157603769353,0.0195837496516215,0.4692311822961034,8.058943089430894,3.741869918699187,4.317073170731708,,,,
A,clean,500,0.05,,DR_CF,500,217,0.5660000000000001,1.4421239991064028,0.1006416276372585,0.9527649769585254,0.0076381722614442,0.1067910542245481,0.0514327224712512,0.4948666127906849,21.152073732718893,10.423963133640552,10.728110599078342,10.567101847507905,6.307361142834943,6.614502762183131,
A,clean,500,0.05,,PR_MLE,500,499,0.002,0.4061935799429985,0.0171046799503741,0.93436873747495,0.005473281080806,0.0449060128552763,0.0489924498722922,0.490710337694903,20.16633266533066,9.849699398797595,10.316633266533064,,,,
A,clean,500,0.05,,STD_ZIB,500,492,0.016,1.5028679482329743,0.058673801991526,0.6684451219512195,0.0136426721695387,0.055157603769353,0.0489526809821739,0.4906999357521098,20.15040650406504,9.841463414634148,10.308943089430894,,,,
